"res","res2","value"
1,"res",0.0494
2,"res",0.099
3,"res",0.1445
4,"res",0.1884
5,"res",0.2276
6,"res",0.2691
7,"res",0.3057
8,"res",0.3366
9,"res",0.3673
10,"res",0.3978
11,"res",0.4261
12,"res",0.4545
13,"res",0.4848
14,"res",0.5106
15,"res",0.536
16,"res",0.5586
17,"res",0.5793
18,"res",0.6034
19,"res",0.6221
20,"res",0.6373
21,"res",0.6562
22,"res",0.6743
23,"res",0.6901
24,"res",0.7038
25,"res",0.7199
26,"res",0.7366
27,"res",0.7505
28,"res",0.7631
29,"res",0.7768
30,"res",0.7899
31,"res",0.7995
32,"res",0.8095
33,"res",0.8182
34,"res",0.8271
35,"res",0.8347
36,"res",0.8431
37,"res",0.8519
38,"res",0.8593
39,"res",0.8672
40,"res",0.874
41,"res",0.8798
42,"res",0.8858
43,"res",0.8921
44,"res",0.8984
45,"res",0.9042
46,"res",0.9093
47,"res",0.9137
48,"res",0.9178
49,"res",0.9223
50,"res",0.927
1,"res2",0.0494
2,"res2",0.0533
3,"res2",0.0522
4,"res2",0.0541
5,"res2",0.0515
6,"res2",0.0513
7,"res2",0.0524
8,"res2",0.051
9,"res2",0.0529
10,"res2",0.0512
11,"res2",0.0518
12,"res2",0.0511
13,"res2",0.0507
14,"res2",0.051
15,"res2",0.0519
16,"res2",0.0517
17,"res2",0.053
18,"res2",0.0524
19,"res2",0.0523
20,"res2",0.0514
21,"res2",0.0516
22,"res2",0.0504
23,"res2",0.0498
24,"res2",0.0497
25,"res2",0.0503
26,"res2",0.052
27,"res2",0.0512
28,"res2",0.0513
29,"res2",0.0519
30,"res2",0.052
31,"res2",0.0522
32,"res2",0.0523
33,"res2",0.0517
34,"res2",0.0512
35,"res2",0.0509
36,"res2",0.0517
37,"res2",0.0509
38,"res2",0.0511
39,"res2",0.0514
40,"res2",0.0509
41,"res2",0.0508
42,"res2",0.0494
43,"res2",0.0491
44,"res2",0.0488
45,"res2",0.0489
46,"res2",0.0494
47,"res2",0.0505
48,"res2",0.0503
49,"res2",0.0505
50,"res2",0.0509
